Calendar Year,Payer,Birthweight Range,Grouper,Birth Characteristic,Number of Births
2007,Medi-Cal,Low Birthweight,Diabetes Status,Diabetes Diagnosis,1444
2007,Medi-Cal,Low Birthweight,Diabetes Status,No Diabetes Diagnosis,16441
2007,Medi-Cal,Low Birthweight,Diabetes Status,Unknown Diabetes Status,0
2007,Medi-Cal,Low Birthweight,Hypertension Status,Hypertension Diagnosis,3762
2007,Medi-Cal,Low Birthweight,Hypertension Status,No Hypertension Diagnosis,14123
2007,Medi-Cal,Low Birthweight,Hypertension Status,Unknown Hypertension Status,0
2007,Medi-Cal,Low Birthweight,Maternal Age Group,Ages 17 and Younger,1027
2007,Medi-Cal,Low Birthweight,Maternal Age Group,Ages 18-19,2000
2007,Medi-Cal,Low Birthweight,Maternal Age Group,Ages 20-24,5483
2007,Medi-Cal,Low Birthweight,Maternal Age Group,Ages 25-29,4240
2007,Medi-Cal,Low Birthweight,Maternal Age Group,Ages 30-34,2931
2007,Medi-Cal,Low Birthweight,Maternal Age Group,Ages 35 and Older,2204
2007,Medi-Cal,Low Birthweight,Maternal Age Group,Invalid Age,0
2007,Medi-Cal,Low Birthweight,Maternal Education Status,Less Than High School,7626
2007,Medi-Cal,Low Birthweight,Maternal Education Status,High School Graduate,5889
2007,Medi-Cal,Low Birthweight,Maternal Education Status,Some College or Associate's Degree,3161
2007,Medi-Cal,Low Birthweight,Maternal Education Status,Bachelor's Degree or Higher,564
2007,Medi-Cal,Low Birthweight,Maternal Education Status,Unknown Education,645
2007,Medi-Cal,Low Birthweight,Maternal Nativity,Foreign-Born,8485
2007,Medi-Cal,Low Birthweight,Maternal Nativity,U.S.-Born,9385
2007,Medi-Cal,Low Birthweight,Maternal Nativity,Unknown Nativity,15
2007,Medi-Cal,Low Birthweight,Maternal Race/Ethnicity,African-American,2219
2007,Medi-Cal,Low Birthweight,Maternal Race/Ethnicity,American Indian/Alaska Native,83
2007,Medi-Cal,Low Birthweight,Maternal Race/Ethnicity,Asian,1007
2007,Medi-Cal,Low Birthweight,Maternal Race/Ethnicity,Hawaiian/Pacific Islander,82
2007,Medi-Cal,Low Birthweight,Maternal Race/Ethnicity,Hispanic,11745
2007,Medi-Cal,Low Birthweight,Maternal Race/Ethnicity,Other/Unknown Race,221
2007,Medi-Cal,Low Birthweight,Maternal Race/Ethnicity,Two or More Race Categories,278
2007,Medi-Cal,Low Birthweight,Maternal Race/Ethnicity,White,2250
2007,Medi-Cal,Low Birthweight,Parity Status,First-Born,6830
2007,Medi-Cal,Low Birthweight,Parity Status,One Previous Birth,4393
2007,Medi-Cal,Low Birthweight,Parity Status,Two or More Previous Births,6624
2007,Medi-Cal,Low Birthweight,Parity Status,Unknown Parity,38
2007,Medi-Cal,Low Birthweight,Pre-Pregnancy Weight,Underweight,887
2007,Medi-Cal,Low Birthweight,Pre-Pregnancy Weight,Normal Weight,6471
2007,Medi-Cal,Low Birthweight,Pre-Pregnancy Weight,Overweight/Obese/Extremely Obese,6312
2007,Medi-Cal,Low Birthweight,Pre-Pregnancy Weight,Unknown Weight,4215
2007,Medi-Cal,Low Birthweight,Single/Multiple Birth,Multiple Birth,3342
2007,Medi-Cal,Low Birthweight,Single/Multiple Birth,Singleton Birth,14543
2007,Medi-Cal,Low Birthweight,Smoking Status,Maternal Smoker,1031
2007,Medi-Cal,Low Birthweight,Smoking Status,Maternal Non-Smoker,16243
2007,Medi-Cal,Low Birthweight,Smoking Status,Unknown Smoking Status,611
2007,Medi-Cal,Low Birthweight,Substance Use Status,Maternal Substance User,773
2007,Medi-Cal,Low Birthweight,Substance Use Status,Maternal Non-Substance User,17112
2007,Medi-Cal,Low Birthweight,Substance Use Status,Unknown Substance Use Status,0
2007,Medi-Cal,Normal Birthweight,Diabetes Status,Diabetes Diagnosis,17398
2007,Medi-Cal,Normal Birthweight,Diabetes Status,No Diabetes Diagnosis,233042
2007,Medi-Cal,Normal Birthweight,Diabetes Status,Unknown Diabetes Status,0
2007,Medi-Cal,Normal Birthweight,Hypertension Status,Hypertension Diagnosis,13453
2007,Medi-Cal,Normal Birthweight,Hypertension Status,No Hypertension Diagnosis,236987
2007,Medi-Cal,Normal Birthweight,Hypertension Status,Unknown Hypertension Status,0
2007,Medi-Cal,Normal Birthweight,Maternal Age Group,Ages 17 and Younger,11949
2007,Medi-Cal,Normal Birthweight,Maternal Age Group,Ages 18-19,26229
2007,Medi-Cal,Normal Birthweight,Maternal Age Group,Ages 20-24,82282
2007,Medi-Cal,Normal Birthweight,Maternal Age Group,Ages 25-29,65968
2007,Medi-Cal,Normal Birthweight,Maternal Age Group,Ages 30-34,40014
2007,Medi-Cal,Normal Birthweight,Maternal Age Group,Ages 35 and Older,23998
2007,Medi-Cal,Normal Birthweight,Maternal Age Group,Invalid Age,0
2007,Medi-Cal,Normal Birthweight,Maternal Education Status,Less Than High School,113212
2007,Medi-Cal,Normal Birthweight,Maternal Education Status,High School Graduate,80956
2007,Medi-Cal,Normal Birthweight,Maternal Education Status,Some College or Associate's Degree,40113
2007,Medi-Cal,Normal Birthweight,Maternal Education Status,Bachelor's Degree or Higher,8101
2007,Medi-Cal,Normal Birthweight,Maternal Education Status,Unknown Education,8058
2007,Medi-Cal,Normal Birthweight,Maternal Nativity,Foreign-Born,137555
2007,Medi-Cal,Normal Birthweight,Maternal Nativity,U.S.-Born,112750
2007,Medi-Cal,Normal Birthweight,Maternal Nativity,Unknown Nativity,135
2007,Medi-Cal,Normal Birthweight,Maternal Race/Ethnicity,African-American,15934
2007,Medi-Cal,Normal Birthweight,Maternal Race/Ethnicity,American Indian/Alaska Native,1053
2007,Medi-Cal,Normal Birthweight,Maternal Race/Ethnicity,Asian,13076
2007,Medi-Cal,Normal Birthweight,Maternal Race/Ethnicity,Hawaiian/Pacific Islander,1181
2007,Medi-Cal,Normal Birthweight,Maternal Race/Ethnicity,Hispanic,180863
2007,Medi-Cal,Normal Birthweight,Maternal Race/Ethnicity,Other/Unknown Race,2083
2007,Medi-Cal,Normal Birthweight,Maternal Race/Ethnicity,Two or More Race Categories,3189
2007,Medi-Cal,Normal Birthweight,Maternal Race/Ethnicity,White,33061
2007,Medi-Cal,Normal Birthweight,Parity Status,First-Born,89587
2007,Medi-Cal,Normal Birthweight,Parity Status,One Previous Birth,71817
2007,Medi-Cal,Normal Birthweight,Parity Status,Two or More Previous Births,88814
2007,Medi-Cal,Normal Birthweight,Parity Status,Unknown Parity,222
2007,Medi-Cal,Normal Birthweight,Pre-Pregnancy Weight,Underweight,8787
2007,Medi-Cal,Normal Birthweight,Pre-Pregnancy Weight,Normal Weight,97221
2007,Medi-Cal,Normal Birthweight,Pre-Pregnancy Weight,Overweight/Obese/Extremely Obese,106806
2007,Medi-Cal,Normal Birthweight,Pre-Pregnancy Weight,Unknown Weight,37626
2007,Medi-Cal,Normal Birthweight,Single/Multiple Birth,Multiple Birth,2492
2007,Medi-Cal,Normal Birthweight,Single/Multiple Birth,Singleton Birth,247948
2007,Medi-Cal,Normal Birthweight,Smoking Status,Maternal Smoker,9472
2007,Medi-Cal,Normal Birthweight,Smoking Status,Maternal Non-Smoker,232777
2007,Medi-Cal,Normal Birthweight,Smoking Status,Unknown Smoking Status,8191
2007,Medi-Cal,Normal Birthweight,Substance Use Status,Maternal Substance User,3963
2007,Medi-Cal,Normal Birthweight,Substance Use Status,Maternal Non-Substance User,246477
2007,Medi-Cal,Normal Birthweight,Substance Use Status,Unknown Substance Use Status,0
2007,Medi-Cal,Unknown Birthweight,Diabetes Status,Diabetes Diagnosis,0
2007,Medi-Cal,Unknown Birthweight,Diabetes Status,No Diabetes Diagnosis,17
2007,Medi-Cal,Unknown Birthweight,Diabetes Status,Unknown Diabetes Status,0
2007,Medi-Cal,Unknown Birthweight,Hypertension Status,Hypertension Diagnosis,1
2007,Medi-Cal,Unknown Birthweight,Hypertension Status,No Hypertension Diagnosis,16
2007,Medi-Cal,Unknown Birthweight,Hypertension Status,Unknown Hypertension Status,0
2007,Medi-Cal,Unknown Birthweight,Maternal Age Group,Ages 17 and Younger,0
2007,Medi-Cal,Unknown Birthweight,Maternal Age Group,Ages 18-19,4
2007,Medi-Cal,Unknown Birthweight,Maternal Age Group,Ages 20-24,6
2007,Medi-Cal,Unknown Birthweight,Maternal Age Group,Ages 25-29,5
2007,Medi-Cal,Unknown Birthweight,Maternal Age Group,Ages 30-34,1
2007,Medi-Cal,Unknown Birthweight,Maternal Age Group,Ages 35 and Older,1
2007,Medi-Cal,Unknown Birthweight,Maternal Age Group,Invalid Age,0
