Calendar Year,Payer,Delivery System,Grouper,Birth Characteristic, Number of Births 
2007,Medi-Cal,Fee-for-Service,Birthweight Range,Low Birthweight,12176
2007,Medi-Cal,Fee-for-Service,Birthweight Range,Normal Birthweight,178273
2007,Medi-Cal,Fee-for-Service,Birthweight Range,Unknown Birthweight,14
2007,Medi-Cal,Managed Care,Birthweight Range,Low Birthweight,5709
2007,Medi-Cal,Managed Care,Birthweight Range,Normal Birthweight,72167
2007,Medi-Cal,Managed Care,Birthweight Range,Unknown Birthweight,3
2007,Non-Medi-Cal,Other Coverage,Birthweight Range,Low Birthweight,4002
2007,Non-Medi-Cal,Other Coverage,Birthweight Range,Normal Birthweight,48885
2007,Non-Medi-Cal,Other Coverage,Birthweight Range,Unknown Birthweight,12
2007,Non-Medi-Cal,Private Insurance,Birthweight Range,Low Birthweight,16518
2007,Non-Medi-Cal,Private Insurance,Birthweight Range,Normal Birthweight,223099
2007,Non-Medi-Cal,Private Insurance,Birthweight Range,Unknown Birthweight,26
2007,Medi-Cal,Fee-for-Service,Diabetes Status,Diabetes Diagnosis,14040
2007,Medi-Cal,Fee-for-Service,Diabetes Status,No Diabetes Diagnosis,176423
2007,Medi-Cal,Fee-for-Service,Diabetes Status,Unknown Diabetes Status,0
2007,Medi-Cal,Managed Care,Diabetes Status,Diabetes Diagnosis,4802
2007,Medi-Cal,Managed Care,Diabetes Status,No Diabetes Diagnosis,73077
2007,Medi-Cal,Managed Care,Diabetes Status,Unknown Diabetes Status,0
2007,Non-Medi-Cal,Other Coverage,Diabetes Status,Diabetes Diagnosis,2392
2007,Non-Medi-Cal,Other Coverage,Diabetes Status,No Diabetes Diagnosis,34306
2007,Non-Medi-Cal,Other Coverage,Diabetes Status,Unknown Diabetes Status,16201
2007,Non-Medi-Cal,Private Insurance,Diabetes Status,Diabetes Diagnosis,18857
2007,Non-Medi-Cal,Private Insurance,Diabetes Status,No Diabetes Diagnosis,213779
2007,Non-Medi-Cal,Private Insurance,Diabetes Status,Unknown Diabetes Status,7007
2007,Medi-Cal,Fee-for-Service,Hypertension Status,Hypertension Diagnosis,11607
2007,Medi-Cal,Fee-for-Service,Hypertension Status,No Hypertension Diagnosis,178856
2007,Medi-Cal,Fee-for-Service,Hypertension Status,Unknown Hypertension Status,0
2007,Medi-Cal,Managed Care,Hypertension Status,Hypertension Diagnosis,5609
2007,Medi-Cal,Managed Care,Hypertension Status,No Hypertension Diagnosis,72270
2007,Medi-Cal,Managed Care,Hypertension Status,Unknown Hypertension Status,0
2007,Non-Medi-Cal,Other Coverage,Hypertension Status,Hypertension Diagnosis,2262
2007,Non-Medi-Cal,Other Coverage,Hypertension Status,No Hypertension Diagnosis,34436
2007,Non-Medi-Cal,Other Coverage,Hypertension Status,Unknown Hypertension Status,16201
2007,Non-Medi-Cal,Private Insurance,Hypertension Status,Hypertension Diagnosis,16217
2007,Non-Medi-Cal,Private Insurance,Hypertension Status,No Hypertension Diagnosis,216419
2007,Non-Medi-Cal,Private Insurance,Hypertension Status,Unknown Hypertension Status,7007
2007,Medi-Cal,Fee-for-Service,Length of Gestation,Normal Gestation (>=37 Weeks),162939
2007,Medi-Cal,Fee-for-Service,Length of Gestation,Preterm Delivery (<37 Weeks),20474
2007,Medi-Cal,Fee-for-Service,Length of Gestation,Unknown Gestation,7050
2007,Medi-Cal,Managed Care,Length of Gestation,Normal Gestation (>=37 Weeks),64173
2007,Medi-Cal,Managed Care,Length of Gestation,Preterm Delivery (<37 Weeks),9245
2007,Medi-Cal,Managed Care,Length of Gestation,Unknown Gestation,4461
2007,Non-Medi-Cal,Other Coverage,Length of Gestation,Normal Gestation (>=37 Weeks),44229
2007,Non-Medi-Cal,Other Coverage,Length of Gestation,Preterm Delivery (<37 Weeks),6145
