Calendar Year,Payer ,Length of Gestation,Grouper,Birth Characteristic, Number of Births 
2007,Medi-Cal,Normal Gestation (>=37 Weeks),Diabetes Status,Diabetes Diagnosis,15290
2007,Medi-Cal,Normal Gestation (>=37 Weeks),Diabetes Status,No Diabetes Diagnosis,211822
2007,Medi-Cal,Normal Gestation (>=37 Weeks),Diabetes Status,Unknown Diabetes Status,0
2007,Medi-Cal,Normal Gestation (>=37 Weeks),Hypertension Status,Hypertension Diagnosis,12188
2007,Medi-Cal,Normal Gestation (>=37 Weeks),Hypertension Status,No Hypertension Diagnosis,214924
2007,Medi-Cal,Normal Gestation (>=37 Weeks),Hypertension Status,Unknown Hypertension Status,0
2007,Medi-Cal,Normal Gestation (>=37 Weeks),Maternal Age Group,Ages 17 and Younger,10634
2007,Medi-Cal,Normal Gestation (>=37 Weeks),Maternal Age Group,Ages 18-19,23844
2007,Medi-Cal,Normal Gestation (>=37 Weeks),Maternal Age Group,Ages 20-24,74612
2007,Medi-Cal,Normal Gestation (>=37 Weeks),Maternal Age Group,Ages 25-29,60194
2007,Medi-Cal,Normal Gestation (>=37 Weeks),Maternal Age Group,Ages 30-34,36287
2007,Medi-Cal,Normal Gestation (>=37 Weeks),Maternal Age Group,Ages 35 and Older,21541
2007,Medi-Cal,Normal Gestation (>=37 Weeks),Maternal Age Group,Invalid Age,0
2007,Medi-Cal,Normal Gestation (>=37 Weeks),Maternal Education Status,Bachelor's Degree or Higher,7644
2007,Medi-Cal,Normal Gestation (>=37 Weeks),Maternal Education Status,High School Graduate,73210
2007,Medi-Cal,Normal Gestation (>=37 Weeks),Maternal Education Status,Less Than High School,102513
2007,Medi-Cal,Normal Gestation (>=37 Weeks),Maternal Education Status,Some College or Associate's Degree,36675
2007,Medi-Cal,Normal Gestation (>=37 Weeks),Maternal Education Status,Unknown Education,7070
2007,Medi-Cal,Normal Gestation (>=37 Weeks),Maternal Nativity,Foreign-Born,126319
2007,Medi-Cal,Normal Gestation (>=37 Weeks),Maternal Nativity,U.S.-Born,100687
2007,Medi-Cal,Normal Gestation (>=37 Weeks),Maternal Nativity,Unknown Nativity,106
2007,Medi-Cal,Normal Gestation (>=37 Weeks),Maternal Race/Ethnicity,African-American,14450
2007,Medi-Cal,Normal Gestation (>=37 Weeks),Maternal Race/Ethnicity,American Indian/Alaska Native,927
2007,Medi-Cal,Normal Gestation (>=37 Weeks),Maternal Race/Ethnicity,Asian,12095
2007,Medi-Cal,Normal Gestation (>=37 Weeks),Maternal Race/Ethnicity,Hawaiian/Pacific Islander,1054
2007,Medi-Cal,Normal Gestation (>=37 Weeks),Maternal Race/Ethnicity,Hispanic,164150
2007,Medi-Cal,Normal Gestation (>=37 Weeks),Maternal Race/Ethnicity,Other/Unknown Race,1838
2007,Medi-Cal,Normal Gestation (>=37 Weeks),Maternal Race/Ethnicity,Two or More Race Categories,2863
2007,Medi-Cal,Normal Gestation (>=37 Weeks),Maternal Race/Ethnicity,White,29735
2007,Medi-Cal,Normal Gestation (>=37 Weeks),Parity Status,First-Born,83048
2007,Medi-Cal,Normal Gestation (>=37 Weeks),Parity Status,One Previous Birth,65069
2007,Medi-Cal,Normal Gestation (>=37 Weeks),Parity Status,Two or More Previous Births,78869
2007,Medi-Cal,Normal Gestation (>=37 Weeks),Parity Status,Unknown Parity,126
2007,Medi-Cal,Normal Gestation (>=37 Weeks),Pre-Pregnancy Weight,Normal Weight,89538
