Calendar Year,Payer,Maternal Race/Ethnicity,Grouper,Birth Characteristic, Number of Births 
2007,Medi-Cal,African-American,Diabetes Status,Diabetes Diagnosis,821
2007,Medi-Cal,African-American,Diabetes Status,No Diabetes Diagnosis,17334
2007,Medi-Cal,African-American,Diabetes Status,Unknown Diabetes Status,0
2007,Medi-Cal,African-American,Hypertension Status,Hypertension Diagnosis,1931
2007,Medi-Cal,African-American,Hypertension Status,No Hypertension Diagnosis,16224
2007,Medi-Cal,African-American,Hypertension Status,Unknown Hypertension Status,0
2007,Medi-Cal,African-American,Smoking Status,Maternal Non-Smoker,16139
2007,Medi-Cal,African-American,Smoking Status,Maternal Smoker,1247
2007,Medi-Cal,African-American,Smoking Status,Unknown Smoking Status,769
2007,Medi-Cal,African-American,Substance Use Status,Maternal Non-Substance User,17393
2007,Medi-Cal,African-American,Substance Use Status,Maternal Substance User,762
2007,Medi-Cal,African-American,Substance Use Status,Unknown Substance Use Status,0
2007,Medi-Cal,American Indian/Alaska Native,Diabetes Status,Diabetes Diagnosis,66
2007,Medi-Cal,American Indian/Alaska Native,Diabetes Status,No Diabetes Diagnosis,1070
2007,Medi-Cal,American Indian/Alaska Native,Diabetes Status,Unknown Diabetes Status,0
2007,Medi-Cal,American Indian/Alaska Native,Hypertension Status,Hypertension Diagnosis,103
2007,Medi-Cal,American Indian/Alaska Native,Hypertension Status,No Hypertension Diagnosis,1033
2007,Medi-Cal,American Indian/Alaska Native,Hypertension Status,Unknown Hypertension Status,0
2007,Medi-Cal,American Indian/Alaska Native,Smoking Status,Maternal Non-Smoker,911
2007,Medi-Cal,American Indian/Alaska Native,Smoking Status,Maternal Smoker,195
2007,Medi-Cal,American Indian/Alaska Native,Smoking Status,Unknown Smoking Status,30
2007,Medi-Cal,American Indian/Alaska Native,Substance Use Status,Maternal Non-Substance User,1058
2007,Medi-Cal,American Indian/Alaska Native,Substance Use Status,Maternal Substance User,78
2007,Medi-Cal,American Indian/Alaska Native,Substance Use Status,Unknown Substance Use Status,0
2007,Medi-Cal,Asian/Pacific Islander,Diabetes Status,Diabetes Diagnosis,1413
