Calendar Year,Payer,Method of Delivery,Grouper,Birth Characteristic, Number of Births 
2007,Medi-Cal,Cesarean-Primary,Maternal Age Group,Ages 17 and Younger,2472
2007,Medi-Cal,Cesarean-Primary,Maternal Age Group,Ages 18-19,5437
2007,Medi-Cal,Cesarean-Primary,Maternal Age Group,Ages 20-24,14727
2007,Medi-Cal,Cesarean-Primary,Maternal Age Group,Ages 25-29,10177
2007,Medi-Cal,Cesarean-Primary,Maternal Age Group,Ages 30-34,6584
2007,Medi-Cal,Cesarean-Primary,Maternal Age Group,Ages 35 and Older,4909
2007,Medi-Cal,Cesarean-Primary,Maternal Age Group,Invalid Age,0
2007,Medi-Cal,Cesarean-Primary,Maternal Education Status,Bachelor's Degree or Higher,1809
2007,Medi-Cal,Cesarean-Primary,Maternal Education Status,High School Graduate,15045
2007,Medi-Cal,Cesarean-Primary,Maternal Education Status,Less Than High School,17877
2007,Medi-Cal,Cesarean-Primary,Maternal Education Status,Some College or Associate's Degree,8168
2007,Medi-Cal,Cesarean-Primary,Maternal Education Status,Unknown Education,1407
2007,Medi-Cal,Cesarean-Primary,Maternal Nativity,Foreign-Born,22466
2007,Medi-Cal,Cesarean-Primary,Maternal Nativity,U.S.-Born,21809
2007,Medi-Cal,Cesarean-Primary,Maternal Nativity,Unknown Nativity,31
2007,Medi-Cal,Cesarean-Primary,Maternal Race/Ethnicity,African-American,3725
2007,Medi-Cal,Cesarean-Primary,Maternal Race/Ethnicity,American Indian/Alaska Native,175
2007,Medi-Cal,Cesarean-Primary,Maternal Race/Ethnicity,Asian,2317
2007,Medi-Cal,Cesarean-Primary,Maternal Race/Ethnicity,Hawaiian/Pacific Islander,257
2007,Medi-Cal,Cesarean-Primary,Maternal Race/Ethnicity,Hispanic,30305
2007,Medi-Cal,Cesarean-Primary,Maternal Race/Ethnicity,Other/Unknown Race,434
2007,Medi-Cal,Cesarean-Primary,Maternal Race/Ethnicity,Two or More Race Categories,693
2007,Medi-Cal,Cesarean-Primary,Maternal Race/Ethnicity,White,6400
2007,Medi-Cal,Cesarean-Repeat,Maternal Age Group,Ages 17 and Younger,184
2007,Medi-Cal,Cesarean-Repeat,Maternal Age Group,Ages 18-19,1199
2007,Medi-Cal,Cesarean-Repeat,Maternal Age Group,Ages 20-24,9712
2007,Medi-Cal,Cesarean-Repeat,Maternal Age Group,Ages 25-29,12324
2007,Medi-Cal,Cesarean-Repeat,Maternal Age Group,Ages 30-34,9518
2007,Medi-Cal,Cesarean-Repeat,Maternal Age Group,Ages 35 and Older,6701
2007,Medi-Cal,Cesarean-Repeat,Maternal Age Group,Invalid Age,0
2007,Medi-Cal,Cesarean-Repeat,Maternal Education Status,Bachelor's Degree or Higher,1222
2007,Medi-Cal,Cesarean-Repeat,Maternal Education Status,High School Graduate,11967
2007,Medi-Cal,Cesarean-Repeat,Maternal Education Status,Less Than High School,19443
2007,Medi-Cal,Cesarean-Repeat,Maternal Education Status,Some College or Associate's Degree,5850
2007,Medi-Cal,Cesarean-Repeat,Maternal Education Status,Unknown Education,1156
2007,Medi-Cal,Cesarean-Repeat,Maternal Nativity,Foreign-Born,23884
2007,Medi-Cal,Cesarean-Repeat,Maternal Nativity,U.S.-Born,15734
2007,Medi-Cal,Cesarean-Repeat,Maternal Nativity,Unknown Nativity,20
2007,Medi-Cal,Cesarean-Repeat,Maternal Race/Ethnicity,African-American,2716
2007,Medi-Cal,Cesarean-Repeat,Maternal Race/Ethnicity,American Indian/Alaska Native,148
2007,Medi-Cal,Cesarean-Repeat,Maternal Race/Ethnicity,Asian,1493
2007,Medi-Cal,Cesarean-Repeat,Maternal Race/Ethnicity,Hawaiian/Pacific Islander,191
2007,Medi-Cal,Cesarean-Repeat,Maternal Race/Ethnicity,Hispanic,29925
2007,Medi-Cal,Cesarean-Repeat,Maternal Race/Ethnicity,Other/Unknown Race,315
2007,Medi-Cal,Cesarean-Repeat,Maternal Race/Ethnicity,Two or More Race Categories,406
2007,Medi-Cal,Cesarean-Repeat,Maternal Race/Ethnicity,White,4444
2007,Medi-Cal,Vaginal,Maternal Age Group,Ages 17 and Younger,10314
2007,Medi-Cal,Vaginal,Maternal Age Group,Ages 18-19,21551
2007,Medi-Cal,Vaginal,Maternal Age Group,Ages 20-24,63008
2007,Medi-Cal,Vaginal,Maternal Age Group,Ages 25-29,47230
2007,Medi-Cal,Vaginal,Maternal Age Group,Ages 30-34,26442
2007,Medi-Cal,Vaginal,Maternal Age Group,Ages 35 and Older,14342
2007,Medi-Cal,Vaginal,Maternal Age Group,Invalid Age,0
2007,Medi-Cal,Vaginal,Maternal Education Status,Bachelor's Degree or Higher,5579
2007,Medi-Cal,Vaginal,Maternal Education Status,High School Graduate,59423
2007,Medi-Cal,Vaginal,Maternal Education Status,Less Than High School,82775
2007,Medi-Cal,Vaginal,Maternal Education Status,Some College or Associate's Degree,29047
2007,Medi-Cal,Vaginal,Maternal Education Status,Unknown Education,6063
2007,Medi-Cal,Vaginal,Maternal Nativity,Foreign-Born,98729
2007,Medi-Cal,Vaginal,Maternal Nativity,U.S.-Born,84059
2007,Medi-Cal,Vaginal,Maternal Nativity,Unknown Nativity,99
2007,Medi-Cal,Vaginal,Maternal Race/Ethnicity,African-American,11580
2007,Medi-Cal,Vaginal,Maternal Race/Ethnicity,American Indian/Alaska Native,803
2007,Medi-Cal,Vaginal,Maternal Race/Ethnicity,Asian,10167
2007,Medi-Cal,Vaginal,Maternal Race/Ethnicity,Hawaiian/Pacific Islander,802
2007,Medi-Cal,Vaginal,Maternal Race/Ethnicity,Hispanic,131339
2007,Medi-Cal,Vaginal,Maternal Race/Ethnicity,Other/Unknown Race,1536
2007,Medi-Cal,Vaginal,Maternal Race/Ethnicity,Two or More Race Categories,2347
2007,Medi-Cal,Vaginal,Maternal Race/Ethnicity,White,24313
2007,Medi-Cal,Vaginal After Previous Cesarean,Maternal Age Group,Ages 17 and Younger,6
2007,Medi-Cal,Vaginal After Previous Cesarean,Maternal Age Group,Ages 18-19,46
2007,Medi-Cal,Vaginal After Previous Cesarean,Maternal Age Group,Ages 20-24,324
2007,Medi-Cal,Vaginal After Previous Cesarean,Maternal Age Group,Ages 25-29,482
2007,Medi-Cal,Vaginal After Previous Cesarean,Maternal Age Group,Ages 30-34,402
2007,Medi-Cal,Vaginal After Previous Cesarean,Maternal Age Group,Ages 35 and Older,251
2007,Medi-Cal,Vaginal After Previous Cesarean,Maternal Age Group,Invalid Age,0
2007,Medi-Cal,Vaginal After Previous Cesarean,Maternal Education Status,Bachelor's Degree or Higher,55
2007,Medi-Cal,Vaginal After Previous Cesarean,Maternal Education Status,High School Graduate,420
