Calendar Year,Payer,Very Low Birthweight Status,Grouper,Birth Characteristic, Number of Births 
2007,Medi-Cal,"Birthweight >=1,500g",Diabetes Status,Diabetes Diagnosis,18603
2007,Medi-Cal,"Birthweight >=1,500g",Diabetes Status,No Diabetes Diagnosis,246702
2007,Medi-Cal,"Birthweight >=1,500g",Diabetes Status,Unknown Diabetes Status,0
2007,Medi-Cal,"Birthweight >=1,500g",Hypertension Status,Hypertension Diagnosis,16439
2007,Medi-Cal,"Birthweight >=1,500g",Hypertension Status,No Hypertension Diagnosis,248866
2007,Medi-Cal,"Birthweight >=1,500g",Hypertension Status,Unknown Hypertension Status,0
2007,Medi-Cal,"Birthweight >=1,500g",Maternal Age Group,Ages 17 and Younger,12814
2007,Medi-Cal,"Birthweight >=1,500g",Maternal Age Group,Ages 18-19,27903
2007,Medi-Cal,"Birthweight >=1,500g",Maternal Age Group,Ages 20-24,86902
2007,Medi-Cal,"Birthweight >=1,500g",Maternal Age Group,Ages 25-29,69503
2007,Medi-Cal,"Birthweight >=1,500g",Maternal Age Group,Ages 30-34,42400
2007,Medi-Cal,"Birthweight >=1,500g",Maternal Age Group,Ages 35 and Older,25783
2007,Medi-Cal,"Birthweight >=1,500g",Maternal Age Group,Invalid Age,0
2007,Medi-Cal,"Birthweight >=1,500g",Maternal Education Status,Bachelor's Degree or Higher,8593
2007,Medi-Cal,"Birthweight >=1,500g",Maternal Education Status,High School Graduate,85828
2007,Medi-Cal,"Birthweight >=1,500g",Maternal Education Status,Less Than High School,119604
2007,Medi-Cal,"Birthweight >=1,500g",Maternal Education Status,Some College or Associate's Degree,42719
2007,Medi-Cal,"Birthweight >=1,500g",Maternal Education Status,Unknown Education,8561
2007,Medi-Cal,"Birthweight >=1,500g",Maternal Nativity,Foreign-Born,144656
2007,Medi-Cal,"Birthweight >=1,500g",Maternal Nativity,U.S.-Born,120506
2007,Medi-Cal,"Birthweight >=1,500g",Maternal Nativity,Unknown Nativity,143
2007,Medi-Cal,"Birthweight >=1,500g",Maternal Race/Ethnicity,African-American,17721
2007,Medi-Cal,"Birthweight >=1,500g",Maternal Race/Ethnicity,American Indian/Alaska Native,1128
2007,Medi-Cal,"Birthweight >=1,500g",Maternal Race/Ethnicity,Asian,13959
2007,Medi-Cal,"Birthweight >=1,500g",Maternal Race/Ethnicity,Hawaiian/Pacific Islander,1242
2007,Medi-Cal,"Birthweight >=1,500g",Maternal Race/Ethnicity,Hispanic,190632
2007,Medi-Cal,"Birthweight >=1,500g",Maternal Race/Ethnicity,Other/Unknown Race,2252
2007,Medi-Cal,"Birthweight >=1,500g",Maternal Race/Ethnicity,Two or More Race Categories,3422
2007,Medi-Cal,"Birthweight >=1,500g",Maternal Race/Ethnicity,White,34949
2007,Medi-Cal,"Birthweight >=1,500g",Parity Status,First-Born,95259
2007,Medi-Cal,"Birthweight >=1,500g",Parity Status,One Previous Birth,75479
2007,Medi-Cal,"Birthweight >=1,500g",Parity Status,Two or More Previous Births,94320
2007,Medi-Cal,"Birthweight >=1,500g",Parity Status,Unknown Parity,247
2007,Medi-Cal,"Birthweight >=1,500g",Pre-Pregnancy Weight,Normal Weight,102773
2007,Medi-Cal,"Birthweight >=1,500g",Pre-Pregnancy Weight,Overweight/Obese/Extremely Obese,111964
