Calendar Year,Payer,Very Preterm Status,Grouper,Birth Characteristic, Number of Births 
2007,Medi-Cal,Gestation >=32 Weeks,Diabetes Status,Diabetes Diagnosis,17776
2007,Medi-Cal,Gestation >=32 Weeks,Diabetes Status,No Diabetes Diagnosis,234664
2007,Medi-Cal,Gestation >=32 Weeks,Diabetes Status,Unknown Diabetes Status,0
2007,Medi-Cal,Gestation >=32 Weeks,Hypertension Status,Hypertension Diagnosis,15662
2007,Medi-Cal,Gestation >=32 Weeks,Hypertension Status,No Hypertension Diagnosis,236778
2007,Medi-Cal,Gestation >=32 Weeks,Hypertension Status,Unknown Hypertension Status,0
2007,Medi-Cal,Gestation >=32 Weeks,Maternal Age Group,Ages 17 and Younger,11983
2007,Medi-Cal,Gestation >=32 Weeks,Maternal Age Group,Ages 18-19,26409
2007,Medi-Cal,Gestation >=32 Weeks,Maternal Age Group,Ages 20-24,82401
2007,Medi-Cal,Gestation >=32 Weeks,Maternal Age Group,Ages 25-29,66342
2007,Medi-Cal,Gestation >=32 Weeks,Maternal Age Group,Ages 30-34,40582
2007,Medi-Cal,Gestation >=32 Weeks,Maternal Age Group,Ages 35 and Older,24723
2007,Medi-Cal,Gestation >=32 Weeks,Maternal Age Group,Invalid Age,0
2007,Medi-Cal,Gestation >=32 Weeks,Maternal Education Status,Bachelor's Degree or Higher,8381
2007,Medi-Cal,Gestation >=32 Weeks,Maternal Education Status,High School Graduate,81315
2007,Medi-Cal,Gestation >=32 Weeks,Maternal Education Status,Less Than High School,114093
2007,Medi-Cal,Gestation >=32 Weeks,Maternal Education Status,Some College or Associate's Degree,40751
2007,Medi-Cal,Gestation >=32 Weeks,Maternal Education Status,Unknown Education,7900
2007,Medi-Cal,Gestation >=32 Weeks,Maternal Nativity,Foreign-Born,139474
2007,Medi-Cal,Gestation >=32 Weeks,Maternal Nativity,U.S.-Born,112848
2007,Medi-Cal,Gestation >=32 Weeks,Maternal Nativity,Unknown Nativity,118
2007,Medi-Cal,Gestation >=32 Weeks,Maternal Race/Ethnicity,African-American,16622
2007,Medi-Cal,Gestation >=32 Weeks,Maternal Race/Ethnicity,American Indian/Alaska Native,1045
2007,Medi-Cal,Gestation >=32 Weeks,Maternal Race/Ethnicity,Asian,13466
2007,Medi-Cal,Gestation >=32 Weeks,Maternal Race/Ethnicity,Hawaiian/Pacific Islander,1171
2007,Medi-Cal,Gestation >=32 Weeks,Maternal Race/Ethnicity,Hispanic,182027
2007,Medi-Cal,Gestation >=32 Weeks,Maternal Race/Ethnicity,Other/Unknown Race,2089
2007,Medi-Cal,Gestation >=32 Weeks,Maternal Race/Ethnicity,Two or More Race Categories,3207
2007,Medi-Cal,Gestation >=32 Weeks,Maternal Race/Ethnicity,White,32813
2007,Medi-Cal,Gestation >=32 Weeks,Parity Status,First-Born,91083
2007,Medi-Cal,Gestation >=32 Weeks,Parity Status,One Previous Birth,71912
2007,Medi-Cal,Gestation >=32 Weeks,Parity Status,Two or More Previous Births,89299
2007,Medi-Cal,Gestation >=32 Weeks,Parity Status,Unknown Parity,146
2007,Medi-Cal,Gestation >=32 Weeks,Pre-Pregnancy Weight,Normal Weight,98767
2007,Medi-Cal,Gestation >=32 Weeks,Pre-Pregnancy Weight,Obese/Extremely Obese,47756
2007,Medi-Cal,Gestation >=32 Weeks,Pre-Pregnancy Weight,Overweight,59569
2007,Medi-Cal,Gestation >=32 Weeks,Pre-Pregnancy Weight,Underweight,9119
2007,Medi-Cal,Gestation >=32 Weeks,Pre-Pregnancy Weight,Unknown Weight,37229
2007,Medi-Cal,Gestation >=32 Weeks,Single/Multiple Birth,Multiple Birth,4956
2007,Medi-Cal,Gestation >=32 Weeks,Single/Multiple Birth,Singleton Birth,247484
2007,Medi-Cal,Gestation >=32 Weeks,Smoking Status,Maternal Non-Smoker,235042
2007,Medi-Cal,Gestation >=32 Weeks,Smoking Status,Maternal Smoker,9541
2007,Medi-Cal,Gestation >=32 Weeks,Smoking Status,Unknown Smoking Status,7857
2007,Medi-Cal,Gestation >=32 Weeks,Substance Use Status,Maternal Non-Substance User,248378
2007,Medi-Cal,Gestation >=32 Weeks,Substance Use Status,Maternal Substance User,4062
2007,Medi-Cal,Gestation >=32 Weeks,Substance Use Status,Unknown Substance Use Status,0
2007,Medi-Cal,Unknown Gestation,Diabetes Status,Diabetes Diagnosis,717
2007,Medi-Cal,Unknown Gestation,Diabetes Status,No Diabetes Diagnosis,10794
2007,Medi-Cal,Unknown Gestation,Diabetes Status,Unknown Diabetes Status,0
2007,Medi-Cal,Unknown Gestation,Hypertension Status,Hypertension Diagnosis,797
2007,Medi-Cal,Unknown Gestation,Hypertension Status,No Hypertension Diagnosis,10714
2007,Medi-Cal,Unknown Gestation,Hypertension Status,Unknown Hypertension Status,0
2007,Medi-Cal,Unknown Gestation,Maternal Age Group,Ages 17 and Younger,665
2007,Medi-Cal,Unknown Gestation,Maternal Age Group,Ages 18-19,1307
2007,Medi-Cal,Unknown Gestation,Maternal Age Group,Ages 20-24,4089
2007,Medi-Cal,Unknown Gestation,Maternal Age Group,Ages 25-29,2907
2007,Medi-Cal,Unknown Gestation,Maternal Age Group,Ages 30-34,1632
2007,Medi-Cal,Unknown Gestation,Maternal Age Group,Ages 35 and Older,911
2007,Medi-Cal,Unknown Gestation,Maternal Age Group,Invalid Age,0
2007,Medi-Cal,Unknown Gestation,Maternal Education Status,Bachelor's Degree or Higher,189
2007,Medi-Cal,Unknown Gestation,Maternal Education Status,High School Graduate,4061
2007,Medi-Cal,Unknown Gestation,Maternal Education Status,Less Than High School,4797
2007,Medi-Cal,Unknown Gestation,Maternal Education Status,Some College or Associate's Degree,1810
2007,Medi-Cal,Unknown Gestation,Maternal Education Status,Unknown Education,654
2007,Medi-Cal,Unknown Gestation,Maternal Nativity,Foreign-Born,4591
2007,Medi-Cal,Unknown Gestation,Maternal Nativity,U.S.-Born,6892
2007,Medi-Cal,Unknown Gestation,Maternal Nativity,Unknown Nativity,28
2007,Medi-Cal,Unknown Gestation,Maternal Race/Ethnicity,African-American,996
2007,Medi-Cal,Unknown Gestation,Maternal Race/Ethnicity,American Indian/Alaska Native,74
2007,Medi-Cal,Unknown Gestation,Maternal Race/Ethnicity,Asian,437
2007,Medi-Cal,Unknown Gestation,Maternal Race/Ethnicity,Hawaiian/Pacific Islander,63
2007,Medi-Cal,Unknown Gestation,Maternal Race/Ethnicity,Hispanic,7629
2007,Medi-Cal,Unknown Gestation,Maternal Race/Ethnicity,Other/Unknown Race,158
2007,Medi-Cal,Unknown Gestation,Maternal Race/Ethnicity,Two or More Race Categories,189
2007,Medi-Cal,Unknown Gestation,Maternal Race/Ethnicity,White,1965
2007,Medi-Cal,Unknown Gestation,Parity Status,First-Born,3752
2007,Medi-Cal,Unknown Gestation,Parity Status,One Previous Birth,3206
2007,Medi-Cal,Unknown Gestation,Parity Status,Two or More Previous Births,4444
2007,Medi-Cal,Unknown Gestation,Parity Status,Unknown Parity,109
2007,Medi-Cal,Unknown Gestation,Pre-Pregnancy Weight,Normal Weight,3422
2007,Medi-Cal,Unknown Gestation,Pre-Pregnancy Weight,Obese/Extremely Obese,1945
2007,Medi-Cal,Unknown Gestation,Pre-Pregnancy Weight,Overweight,2102
2007,Medi-Cal,Unknown Gestation,Pre-Pregnancy Weight,Underweight,380
2007,Medi-Cal,Unknown Gestation,Pre-Pregnancy Weight,Unknown Weight,3662
2007,Medi-Cal,Unknown Gestation,Single/Multiple Birth,Multiple Birth,235
2007,Medi-Cal,Unknown Gestation,Single/Multiple Birth,Singleton Birth,11276
2007,Medi-Cal,Unknown Gestation,Smoking Status,Maternal Non-Smoker,10001
2007,Medi-Cal,Unknown Gestation,Smoking Status,Maternal Smoker,707
2007,Medi-Cal,Unknown Gestation,Smoking Status,Unknown Smoking Status,803
2007,Medi-Cal,Unknown Gestation,Substance Use Status,Maternal Non-Substance User,11040
2007,Medi-Cal,Unknown Gestation,Substance Use Status,Maternal Substance User,471
2007,Medi-Cal,Unknown Gestation,Substance Use Status,Unknown Substance Use Status,0
2007,Medi-Cal,Very Preterm Delivery (<32 Weeks),Diabetes Status,Diabetes Diagnosis,349
2007,Medi-Cal,Very Preterm Delivery (<32 Weeks),Diabetes Status,No Diabetes Diagnosis,4042
2007,Medi-Cal,Very Preterm Delivery (<32 Weeks),Diabetes Status,Unknown Diabetes Status,0
2007,Medi-Cal,Very Preterm Delivery (<32 Weeks),Hypertension Status,Hypertension Diagnosis,757
2007,Medi-Cal,Very Preterm Delivery (<32 Weeks),Hypertension Status,No Hypertension Diagnosis,3634
2007,Medi-Cal,Very Preterm Delivery (<32 Weeks),Hypertension Status,Unknown Hypertension Status,0
2007,Medi-Cal,Very Preterm Delivery (<32 Weeks),Maternal Age Group,Ages 17 and Younger,328
2007,Medi-Cal,Very Preterm Delivery (<32 Weeks),Maternal Age Group,Ages 18-19,517
2007,Medi-Cal,Very Preterm Delivery (<32 Weeks),Maternal Age Group,Ages 20-24,1281
2007,Medi-Cal,Very Preterm Delivery (<32 Weeks),Maternal Age Group,Ages 25-29,964
2007,Medi-Cal,Very Preterm Delivery (<32 Weeks),Maternal Age Group,Ages 30-34,732
2007,Medi-Cal,Very Preterm Delivery (<32 Weeks),Maternal Age Group,Ages 35 and Older,569
2007,Medi-Cal,Very Preterm Delivery (<32 Weeks),Maternal Age Group,Invalid Age,0
2007,Medi-Cal,Very Preterm Delivery (<32 Weeks),Maternal Education Status,Bachelor's Degree or Higher,95
2007,Medi-Cal,Very Preterm Delivery (<32 Weeks),Maternal Education Status,High School Graduate,1479
2007,Medi-Cal,Very Preterm Delivery (<32 Weeks),Maternal Education Status,Less Than High School,1951
2007,Medi-Cal,Very Preterm Delivery (<32 Weeks),Maternal Education Status,Some College or Associate's Degree,715
2007,Medi-Cal,Very Preterm Delivery (<32 Weeks),Maternal Education Status,Unknown Education,151
2007,Medi-Cal,Very Preterm Delivery (<32 Weeks),Maternal Nativity,Foreign-Born,1984
2007,Medi-Cal,Very Preterm Delivery (<32 Weeks),Maternal Nativity,U.S.-Born,2402
2007,Medi-Cal,Very Preterm Delivery (<32 Weeks),Maternal Nativity,Unknown Nativity,5
2007,Medi-Cal,Very Preterm Delivery (<32 Weeks),Maternal Race/Ethnicity,African-American,537
2007,Medi-Cal,Very Preterm Delivery (<32 Weeks),Maternal Race/Ethnicity,American Indian/Alaska Native,17
2007,Medi-Cal,Very Preterm Delivery (<32 Weeks),Maternal Race/Ethnicity,Asian,180
2007,Medi-Cal,Very Preterm Delivery (<32 Weeks),Maternal Race/Ethnicity,Hawaiian/Pacific Islander,29
2007,Medi-Cal,Very Preterm Delivery (<32 Weeks),Maternal Race/Ethnicity,Hispanic,2964
2007,Medi-Cal,Very Preterm Delivery (<32 Weeks),Maternal Race/Ethnicity,Other/Unknown Race,57
2007,Medi-Cal,Very Preterm Delivery (<32 Weeks),Maternal Race/Ethnicity,Two or More Race Categories,71
2007,Medi-Cal,Very Preterm Delivery (<32 Weeks),Maternal Race/Ethnicity,White,536
2007,Medi-Cal,Very Preterm Delivery (<32 Weeks),Parity Status,First-Born,1588
2007,Medi-Cal,Very Preterm Delivery (<32 Weeks),Parity Status,One Previous Birth,1100
2007,Medi-Cal,Very Preterm Delivery (<32 Weeks),Parity Status,Two or More Previous Births,1698
2007,Medi-Cal,Very Preterm Delivery (<32 Weeks),Parity Status,Unknown Parity,5
2007,Medi-Cal,Very Preterm Delivery (<32 Weeks),Pre-Pregnancy Weight,Normal Weight,1506
2007,Medi-Cal,Very Preterm Delivery (<32 Weeks),Pre-Pregnancy Weight,Obese/Extremely Obese,847
2007,Medi-Cal,Very Preterm Delivery (<32 Weeks),Pre-Pregnancy Weight,Overweight,902
2007,Medi-Cal,Very Preterm Delivery (<32 Weeks),Pre-Pregnancy Weight,Underweight,175
2007,Medi-Cal,Very Preterm Delivery (<32 Weeks),Pre-Pregnancy Weight,Unknown Weight,961
2007,Medi-Cal,Very Preterm Delivery (<32 Weeks),Single/Multiple Birth,Multiple Birth,645
2007,Medi-Cal,Very Preterm Delivery (<32 Weeks),Single/Multiple Birth,Singleton Birth,3746
2007,Medi-Cal,Very Preterm Delivery (<32 Weeks),Smoking Status,Maternal Non-Smoker,3991
2007,Medi-Cal,Very Preterm Delivery (<32 Weeks),Smoking Status,Maternal Smoker,256
2007,Medi-Cal,Very Preterm Delivery (<32 Weeks),Smoking Status,Unknown Smoking Status,144
2007,Medi-Cal,Very Preterm Delivery (<32 Weeks),Substance Use Status,Maternal Non-Substance User,4187
2007,Medi-Cal,Very Preterm Delivery (<32 Weeks),Substance Use Status,Maternal Substance User,204
2007,Medi-Cal,Very Preterm Delivery (<32 Weeks),Substance Use Status,Unknown Substance Use Status,0
2007,Non-Medi-Cal,Gestation >=32 Weeks,Diabetes Status,Diabetes Diagnosis,20037
2007,Non-Medi-Cal,Gestation >=32 Weeks,Diabetes Status,No Diabetes Diagnosis,235853
2007,Non-Medi-Cal,Gestation >=32 Weeks,Diabetes Status,Unknown Diabetes Status,21435
2007,Non-Medi-Cal,Gestation >=32 Weeks,Hypertension Status,Hypertension Diagnosis,17029
2007,Non-Medi-Cal,Gestation >=32 Weeks,Hypertension Status,No Hypertension Diagnosis,238861
2007,Non-Medi-Cal,Gestation >=32 Weeks,Hypertension Status,Unknown Hypertension Status,21435
2007,Non-Medi-Cal,Gestation >=32 Weeks,Maternal Age Group,Ages 17 and Younger,4657
2007,Non-Medi-Cal,Gestation >=32 Weeks,Maternal Age Group,Ages 18-19,6743
2007,Non-Medi-Cal,Gestation >=32 Weeks,Maternal Age Group,Ages 20-24,36674
2007,Non-Medi-Cal,Gestation >=32 Weeks,Maternal Age Group,Ages 25-29,74946
2007,Non-Medi-Cal,Gestation >=32 Weeks,Maternal Age Group,Ages 30-34,86998
2007,Non-Medi-Cal,Gestation >=32 Weeks,Maternal Age Group,Ages 35 and Older,67290
2007,Non-Medi-Cal,Gestation >=32 Weeks,Maternal Age Group,Invalid Age,17
2007,Non-Medi-Cal,Gestation >=32 Weeks,Maternal Education Status,Bachelor's Degree or Higher,111782
2007,Non-Medi-Cal,Gestation >=32 Weeks,Maternal Education Status,High School Graduate,57400
2007,Non-Medi-Cal,Gestation >=32 Weeks,Maternal Education Status,Less Than High School,28078
2007,Non-Medi-Cal,Gestation >=32 Weeks,Maternal Education Status,Some College or Associate's Degree,70828
2007,Non-Medi-Cal,Gestation >=32 Weeks,Maternal Education Status,Unknown Education,9237
2007,Non-Medi-Cal,Gestation >=32 Weeks,Maternal Nativity,Foreign-Born,107127
2007,Non-Medi-Cal,Gestation >=32 Weeks,Maternal Nativity,U.S.-Born,170036
2007,Non-Medi-Cal,Gestation >=32 Weeks,Maternal Nativity,Unknown Nativity,162
2007,Non-Medi-Cal,Gestation >=32 Weeks,Maternal Race/Ethnicity,African-American,10062
2007,Non-Medi-Cal,Gestation >=32 Weeks,Maternal Race/Ethnicity,American Indian/Alaska Native,782
2007,Non-Medi-Cal,Gestation >=32 Weeks,Maternal Race/Ethnicity,Asian,50076
2007,Non-Medi-Cal,Gestation >=32 Weeks,Maternal Race/Ethnicity,Hawaiian/Pacific Islander,1248
2007,Non-Medi-Cal,Gestation >=32 Weeks,Maternal Race/Ethnicity,Hispanic,96548
2007,Non-Medi-Cal,Gestation >=32 Weeks,Maternal Race/Ethnicity,Other/Unknown Race,5463
2007,Non-Medi-Cal,Gestation >=32 Weeks,Maternal Race/Ethnicity,Two or More Race Categories,5532
2007,Non-Medi-Cal,Gestation >=32 Weeks,Maternal Race/Ethnicity,White,107614
2007,Non-Medi-Cal,Gestation >=32 Weeks,Parity Status,First-Born,116633
2007,Non-Medi-Cal,Gestation >=32 Weeks,Parity Status,One Previous Birth,93169
2007,Non-Medi-Cal,Gestation >=32 Weeks,Parity Status,Two or More Previous Births,67346
2007,Non-Medi-Cal,Gestation >=32 Weeks,Parity Status,Unknown Parity,177
2007,Non-Medi-Cal,Gestation >=32 Weeks,Pre-Pregnancy Weight,Normal Weight,129180
2007,Non-Medi-Cal,Gestation >=32 Weeks,Pre-Pregnancy Weight,Obese/Extremely Obese,36650
2007,Non-Medi-Cal,Gestation >=32 Weeks,Pre-Pregnancy Weight,Overweight,53427
2007,Non-Medi-Cal,Gestation >=32 Weeks,Pre-Pregnancy Weight,Underweight,10351
2007,Non-Medi-Cal,Gestation >=32 Weeks,Pre-Pregnancy Weight,Unknown Weight,47717
2007,Non-Medi-Cal,Gestation >=32 Weeks,Single/Multiple Birth,Multiple Birth,9811
2007,Non-Medi-Cal,Gestation >=32 Weeks,Single/Multiple Birth,Singleton Birth,267514
2007,Non-Medi-Cal,Gestation >=32 Weeks,Smoking Status,Maternal Non-Smoker,250023
2007,Non-Medi-Cal,Gestation >=32 Weeks,Smoking Status,Maternal Smoker,3269
2007,Non-Medi-Cal,Gestation >=32 Weeks,Smoking Status,Unknown Smoking Status,24033
2007,Non-Medi-Cal,Gestation >=32 Weeks,Substance Use Status,Maternal Non-Substance User,254668
2007,Non-Medi-Cal,Gestation >=32 Weeks,Substance Use Status,Maternal Substance User,1222
2007,Non-Medi-Cal,Gestation >=32 Weeks,Substance Use Status,Unknown Substance Use Status,21435
2007,Non-Medi-Cal,Unknown Gestation,Diabetes Status,Diabetes Diagnosis,797
2007,Non-Medi-Cal,Unknown Gestation,Diabetes Status,No Diabetes Diagnosis,9028
2007,Non-Medi-Cal,Unknown Gestation,Diabetes Status,Unknown Diabetes Status,1105
2007,Non-Medi-Cal,Unknown Gestation,Hypertension Status,Hypertension Diagnosis,693
2007,Non-Medi-Cal,Unknown Gestation,Hypertension Status,No Hypertension Diagnosis,9132
2007,Non-Medi-Cal,Unknown Gestation,Hypertension Status,Unknown Hypertension Status,1105
2007,Non-Medi-Cal,Unknown Gestation,Maternal Age Group,Ages 17 and Younger,319
2007,Non-Medi-Cal,Unknown Gestation,Maternal Age Group,Ages 18-19,406
2007,Non-Medi-Cal,Unknown Gestation,Maternal Age Group,Ages 20-24,1926
2007,Non-Medi-Cal,Unknown Gestation,Maternal Age Group,Ages 25-29,2992
2007,Non-Medi-Cal,Unknown Gestation,Maternal Age Group,Ages 30-34,2966
2007,Non-Medi-Cal,Unknown Gestation,Maternal Age Group,Ages 35 and Older,2306
2007,Non-Medi-Cal,Unknown Gestation,Maternal Age Group,Invalid Age,15
2007,Non-Medi-Cal,Unknown Gestation,Maternal Education Status,Bachelor's Degree or Higher,2953
2007,Non-Medi-Cal,Unknown Gestation,Maternal Education Status,High School Graduate,2891
2007,Non-Medi-Cal,Unknown Gestation,Maternal Education Status,Less Than High School,1479
2007,Non-Medi-Cal,Unknown Gestation,Maternal Education Status,Some College or Associate's Degree,2820
2007,Non-Medi-Cal,Unknown Gestation,Maternal Education Status,Unknown Education,787
2007,Non-Medi-Cal,Unknown Gestation,Maternal Nativity,Foreign-Born,3590
2007,Non-Medi-Cal,Unknown Gestation,Maternal Nativity,U.S.-Born,7295
2007,Non-Medi-Cal,Unknown Gestation,Maternal Nativity,Unknown Nativity,45
2007,Non-Medi-Cal,Unknown Gestation,Maternal Race/Ethnicity,African-American,539
2007,Non-Medi-Cal,Unknown Gestation,Maternal Race/Ethnicity,American Indian/Alaska Native,35
2007,Non-Medi-Cal,Unknown Gestation,Maternal Race/Ethnicity,Asian,1149
2007,Non-Medi-Cal,Unknown Gestation,Maternal Race/Ethnicity,Hawaiian/Pacific Islander,48
2007,Non-Medi-Cal,Unknown Gestation,Maternal Race/Ethnicity,Hispanic,4506
2007,Non-Medi-Cal,Unknown Gestation,Maternal Race/Ethnicity,Other/Unknown Race,363
2007,Non-Medi-Cal,Unknown Gestation,Maternal Race/Ethnicity,Two or More Race Categories,233
2007,Non-Medi-Cal,Unknown Gestation,Maternal Race/Ethnicity,White,4057
2007,Non-Medi-Cal,Unknown Gestation,Parity Status,First-Born,3835
2007,Non-Medi-Cal,Unknown Gestation,Parity Status,One Previous Birth,3526
2007,Non-Medi-Cal,Unknown Gestation,Parity Status,Two or More Previous Births,3353
2007,Non-Medi-Cal,Unknown Gestation,Parity Status,Unknown Parity,216
2007,Non-Medi-Cal,Unknown Gestation,Pre-Pregnancy Weight,Normal Weight,3565
2007,Non-Medi-Cal,Unknown Gestation,Pre-Pregnancy Weight,Obese/Extremely Obese,1420
2007,Non-Medi-Cal,Unknown Gestation,Pre-Pregnancy Weight,Overweight,1705
2007,Non-Medi-Cal,Unknown Gestation,Pre-Pregnancy Weight,Underweight,311
2007,Non-Medi-Cal,Unknown Gestation,Pre-Pregnancy Weight,Unknown Weight,3929
2007,Non-Medi-Cal,Unknown Gestation,Single/Multiple Birth,Multiple Birth,523
2007,Non-Medi-Cal,Unknown Gestation,Single/Multiple Birth,Singleton Birth,10407
2007,Non-Medi-Cal,Unknown Gestation,Smoking Status,Maternal Non-Smoker,9085
2007,Non-Medi-Cal,Unknown Gestation,Smoking Status,Maternal Smoker,225
2007,Non-Medi-Cal,Unknown Gestation,Smoking Status,Unknown Smoking Status,1620
2007,Non-Medi-Cal,Unknown Gestation,Substance Use Status,Maternal Non-Substance User,9645
2007,Non-Medi-Cal,Unknown Gestation,Substance Use Status,Maternal Substance User,180
2007,Non-Medi-Cal,Unknown Gestation,Substance Use Status,Unknown Substance Use Status,1105
2007,Non-Medi-Cal,Very Preterm Delivery (<32 Weeks),Diabetes Status,Diabetes Diagnosis,415
2007,Non-Medi-Cal,Very Preterm Delivery (<32 Weeks),Diabetes Status,No Diabetes Diagnosis,3204
2007,Non-Medi-Cal,Very Preterm Delivery (<32 Weeks),Diabetes Status,Unknown Diabetes Status,668
2007,Non-Medi-Cal,Very Preterm Delivery (<32 Weeks),Hypertension Status,Hypertension Diagnosis,757
2007,Non-Medi-Cal,Very Preterm Delivery (<32 Weeks),Hypertension Status,No Hypertension Diagnosis,2862
2007,Non-Medi-Cal,Very Preterm Delivery (<32 Weeks),Hypertension Status,Unknown Hypertension Status,668
2007,Non-Medi-Cal,Very Preterm Delivery (<32 Weeks),Maternal Age Group,Ages 17 and Younger,143
2007,Non-Medi-Cal,Very Preterm Delivery (<32 Weeks),Maternal Age Group,Ages 18-19,151
2007,Non-Medi-Cal,Very Preterm Delivery (<32 Weeks),Maternal Age Group,Ages 20-24,576
2007,Non-Medi-Cal,Very Preterm Delivery (<32 Weeks),Maternal Age Group,Ages 25-29,1012
2007,Non-Medi-Cal,Very Preterm Delivery (<32 Weeks),Maternal Age Group,Ages 30-34,1197
2007,Non-Medi-Cal,Very Preterm Delivery (<32 Weeks),Maternal Age Group,Ages 35 and Older,1208
2007,Non-Medi-Cal,Very Preterm Delivery (<32 Weeks),Maternal Age Group,Invalid Age,0
2007,Non-Medi-Cal,Very Preterm Delivery (<32 Weeks),Maternal Education Status,Bachelor's Degree or Higher,1379
2007,Non-Medi-Cal,Very Preterm Delivery (<32 Weeks),Maternal Education Status,High School Graduate,950
2007,Non-Medi-Cal,Very Preterm Delivery (<32 Weeks),Maternal Education Status,Less Than High School,613
2007,Non-Medi-Cal,Very Preterm Delivery (<32 Weeks),Maternal Education Status,Some College or Associate's Degree,1132
2007,Non-Medi-Cal,Very Preterm Delivery (<32 Weeks),Maternal Education Status,Unknown Education,213
2007,Non-Medi-Cal,Very Preterm Delivery (<32 Weeks),Maternal Nativity,Foreign-Born,1497
