Calendar Year,Payer,Delivery System,Grouper,Birth Characteristic, Number of Births 
2007,Medi-Cal,Fee-for-Service,Birthweight Range,Low Birthweight,9987
2007,Medi-Cal,Fee-for-Service,Birthweight Range,Normal Birthweight,176665
2007,Medi-Cal,Fee-for-Service,Birthweight Range,Unknown Birthweight,13
2007,Medi-Cal,Fee-for-Service,Length of Gestation,Normal Gestation (>=37 Weeks),161398
2007,Medi-Cal,Fee-for-Service,Length of Gestation,Preterm Delivery (<37 Weeks),18361
2007,Medi-Cal,Fee-for-Service,Length of Gestation,Unknown Gestation,6906
2007,Medi-Cal,Fee-for-Service,Very Low Birthweight Status,"Birthweight >=1,500g",184919
2007,Medi-Cal,Fee-for-Service,Very Low Birthweight Status,Unknown Birthweight,13
2007,Medi-Cal,Fee-for-Service,Very Low Birthweight Status,"Very Low Birthweight (<1,500g)",1733
2007,Medi-Cal,Fee-for-Service,Very Preterm Status,Gestation >=32 Weeks,177171
2007,Medi-Cal,Fee-for-Service,Very Preterm Status,Unknown Gestation,6906
2007,Medi-Cal,Fee-for-Service,Very Preterm Status,Very Preterm Delivery (<32 Weeks),2588
2007,Medi-Cal,Managed Care,Birthweight Range,Low Birthweight,4556
2007,Medi-Cal,Managed Care,Birthweight Range,Normal Birthweight,71283
2007,Medi-Cal,Managed Care,Birthweight Range,Unknown Birthweight,2
2007,Medi-Cal,Managed Care,Length of Gestation,Normal Gestation (>=37 Weeks),63349
2007,Medi-Cal,Managed Care,Length of Gestation,Preterm Delivery (<37 Weeks),8122
2007,Medi-Cal,Managed Care,Length of Gestation,Unknown Gestation,4370
2007,Medi-Cal,Managed Care,Very Low Birthweight Status,"Birthweight >=1,500g",75159
2007,Medi-Cal,Managed Care,Very Low Birthweight Status,Unknown Birthweight,2
2007,Medi-Cal,Managed Care,Very Low Birthweight Status,"Very Low Birthweight (<1,500g)",680
2007,Medi-Cal,Managed Care,Very Preterm Status,Gestation >=32 Weeks,70313
2007,Medi-Cal,Managed Care,Very Preterm Status,Unknown Gestation,4370
2007,Medi-Cal,Managed Care,Very Preterm Status,Very Preterm Delivery (<32 Weeks),1158
2007,Non-Medi-Cal,Other Coverage,Birthweight Range,Low Birthweight,3093
2007,Non-Medi-Cal,Other Coverage,Birthweight Range,Normal Birthweight,48249
2007,Non-Medi-Cal,Other Coverage,Birthweight Range,Unknown Birthweight,12
2007,Non-Medi-Cal,Other Coverage,Length of Gestation,Normal Gestation (>=37 Weeks),43659
2007,Non-Medi-Cal,Other Coverage,Length of Gestation,Preterm Delivery (<37 Weeks),5247
2007,Non-Medi-Cal,Other Coverage,Length of Gestation,Unknown Gestation,2448
2007,Non-Medi-Cal,Other Coverage,Very Low Birthweight Status,"Birthweight >=1,500g",50736
2007,Non-Medi-Cal,Other Coverage,Very Low Birthweight Status,Unknown Birthweight,12
2007,Non-Medi-Cal,Other Coverage,Very Low Birthweight Status,"Very Low Birthweight (<1,500g)",606
2007,Non-Medi-Cal,Other Coverage,Very Preterm Status,Gestation >=32 Weeks,48094
2007,Non-Medi-Cal,Other Coverage,Very Preterm Status,Unknown Gestation,2448
2007,Non-Medi-Cal,Other Coverage,Very Preterm Status,Very Preterm Delivery (<32 Weeks),812
2007,Non-Medi-Cal,Private Insurance,Birthweight Range,Low Birthweight,10915
2007,Non-Medi-Cal,Private Insurance,Birthweight Range,Normal Birthweight,218702
2007,Non-Medi-Cal,Private Insurance,Birthweight Range,Unknown Birthweight,17
2007,Non-Medi-Cal,Private Insurance,Length of Gestation,Normal Gestation (>=37 Weeks),203402
2007,Non-Medi-Cal,Private Insurance,Length of Gestation,Preterm Delivery (<37 Weeks),18273
2007,Non-Medi-Cal,Private Insurance,Length of Gestation,Unknown Gestation,7959
2007,Non-Medi-Cal,Private Insurance,Very Low Birthweight Status,"Birthweight >=1,500g",227791
2007,Non-Medi-Cal,Private Insurance,Very Low Birthweight Status,Unknown Birthweight,17
2007,Non-Medi-Cal,Private Insurance,Very Low Birthweight Status,"Very Low Birthweight (<1,500g)",1826
2007,Non-Medi-Cal,Private Insurance,Very Preterm Status,Gestation >=32 Weeks,219420
2007,Non-Medi-Cal,Private Insurance,Very Preterm Status,Unknown Gestation,7959
2007,Non-Medi-Cal,Private Insurance,Very Preterm Status,Very Preterm Delivery (<32 Weeks),2255
2008,Medi-Cal,Fee-for-Service,Birthweight Range,Low Birthweight,9724
2008,Medi-Cal,Fee-for-Service,Birthweight Range,Normal Birthweight,172368
2008,Medi-Cal,Fee-for-Service,Birthweight Range,Unknown Birthweight,22
2008,Medi-Cal,Fee-for-Service,Length of Gestation,Normal Gestation (>=37 Weeks),158526
2008,Medi-Cal,Fee-for-Service,Length of Gestation,Preterm Delivery (<37 Weeks),17349
2008,Medi-Cal,Fee-for-Service,Length of Gestation,Unknown Gestation,6239
