Calendar Year,Aid Category,Grouper ,Birth Characteristic,Number of Births 
2007,Adoption/Foster Care,Birthweight Range,Low Birthweight,89
2007,Adoption/Foster Care,Birthweight Range,Normal Birthweight,810
2007,Adoption/Foster Care,Birthweight Range,Unknown Birthweight,0
2007,Adoption/Foster Care,Diabetes Status,Diabetes Diagnosis,15
2007,Adoption/Foster Care,Diabetes Status,No Diabetes Diagnosis,884
2007,Adoption/Foster Care,Diabetes Status,Unknown Diabetes Status,0
2007,Adoption/Foster Care,Hypertension Status,Hypertension Diagnosis,73
2007,Adoption/Foster Care,Hypertension Status,No Hypertension Diagnosis,826
2007,Adoption/Foster Care,Hypertension Status,Unknown Hypertension Status,0
2007,Adoption/Foster Care,Length of Gestation,Normal Gestation (>=37 Weeks),722
2007,Adoption/Foster Care,Length of Gestation,Preterm Delivery (<37 Weeks),121
2007,Adoption/Foster Care,Length of Gestation,Unknown Gestation,56
2007,Adoption/Foster Care,Method of Delivery,Cesarean-Primary,189
2007,Adoption/Foster Care,Method of Delivery,Cesarean-Repeat,24
2007,Adoption/Foster Care,Method of Delivery,Vaginal,685
2007,Adoption/Foster Care,Method of Delivery,Vaginal After Previous Cesarean,1
2007,Adoption/Foster Care,Prenatal Care Initiation,First Trimester Initiation,599
2007,Adoption/Foster Care,Prenatal Care Initiation,No Prenatal Care,7
2007,Adoption/Foster Care,Prenatal Care Initiation,Second Trimester Initiation,219
2007,Adoption/Foster Care,Prenatal Care Initiation,Third Trimester Initiation,45
2007,Adoption/Foster Care,Prenatal Care Initiation,Unknown Prenatal Care,29
2007,Adoption/Foster Care,Pre-Pregnancy Weight,Normal Weight,469
2007,Adoption/Foster Care,Pre-Pregnancy Weight,Overweight/Obese/Extremely Obese,277
2007,Adoption/Foster Care,Pre-Pregnancy Weight,Underweight,49
2007,Adoption/Foster Care,Pre-Pregnancy Weight,Unknown Weight,104
2007,Adoption/Foster Care,Smoking Status,Maternal Non-Smoker,807
2007,Adoption/Foster Care,Smoking Status,Maternal Smoker,53
2007,Adoption/Foster Care,Smoking Status,Unknown Smoking Status,39
2007,Adoption/Foster Care,Substance Use Status,Maternal Non-Substance User,857
2007,Adoption/Foster Care,Substance Use Status,Maternal Substance User,42
2007,Adoption/Foster Care,Substance Use Status,Unknown Substance Use Status,0
2007,Adoption/Foster Care,Very Low Birthweight Status,"Birthweight >=1,500g",887
2007,Adoption/Foster Care,Very Low Birthweight Status,Unknown Birthweight,0
2007,Adoption/Foster Care,Very Low Birthweight Status,"Very Low Birthweight (<1,500g)",12
2007,Adoption/Foster Care,Very Preterm Status,Gestation >=32 Weeks,829
2007,Adoption/Foster Care,Very Preterm Status,Unknown Gestation,56
2007,Adoption/Foster Care,Very Preterm Status,Very Preterm Delivery (<32 Weeks),14
2007,Blind/Disabled,Birthweight Range,Low Birthweight,543
2007,Blind/Disabled,Birthweight Range,Normal Birthweight,3659
2007,Blind/Disabled,Birthweight Range,Unknown Birthweight,0
2007,Blind/Disabled,Diabetes Status,Diabetes Diagnosis,374
2007,Blind/Disabled,Diabetes Status,No Diabetes Diagnosis,3828
2007,Blind/Disabled,Diabetes Status,Unknown Diabetes Status,0
2007,Blind/Disabled,Hypertension Status,Hypertension Diagnosis,475
2007,Blind/Disabled,Hypertension Status,No Hypertension Diagnosis,3727
2007,Blind/Disabled,Hypertension Status,Unknown Hypertension Status,0
2007,Blind/Disabled,Length of Gestation,Normal Gestation (>=37 Weeks),3109
2007,Blind/Disabled,Length of Gestation,Preterm Delivery (<37 Weeks),740
2007,Blind/Disabled,Length of Gestation,Unknown Gestation,353
2007,Blind/Disabled,Method of Delivery,Cesarean-Primary,933
2007,Blind/Disabled,Method of Delivery,Cesarean-Repeat,741
2007,Blind/Disabled,Method of Delivery,Vaginal,2504
2007,Blind/Disabled,Method of Delivery,Vaginal After Previous Cesarean,24
2007,Blind/Disabled,Prenatal Care Initiation,First Trimester Initiation,3029
2007,Blind/Disabled,Prenatal Care Initiation,No Prenatal Care,66
2007,Blind/Disabled,Prenatal Care Initiation,Second Trimester Initiation,745
2007,Blind/Disabled,Prenatal Care Initiation,Third Trimester Initiation,182
2007,Blind/Disabled,Prenatal Care Initiation,Unknown Prenatal Care,180
2007,Blind/Disabled,Pre-Pregnancy Weight,Normal Weight,1416
2007,Blind/Disabled,Pre-Pregnancy Weight,Overweight/Obese/Extremely Obese,1962
2007,Blind/Disabled,Pre-Pregnancy Weight,Underweight,176
2007,Blind/Disabled,Pre-Pregnancy Weight,Unknown Weight,648
2007,Blind/Disabled,Smoking Status,Maternal Non-Smoker,3426
2007,Blind/Disabled,Smoking Status,Maternal Smoker,590
2007,Blind/Disabled,Smoking Status,Unknown Smoking Status,186
2007,Blind/Disabled,Substance Use Status,Maternal Non-Substance User,3877
2007,Blind/Disabled,Substance Use Status,Maternal Substance User,325
