Calendar Year,Grouper,Birth Characteristic,Geographic Region, Number of Births , Annotation Code , Annotation Description 
2007,Aid Category,Blind and Persons with Disabilities,Bay Area,554,,
2007,Aid Category,Families,Bay Area,12746,,
2007,Aid Category,Medically Indigent Child & Minor Consent,Bay Area,627,,
2007,Aid Category,Other,Bay Area,144,,
2007,Aid Category,Pregnancy Pathway (Not Undocumented),Bay Area,3873,,
2007,Aid Category,Undocumented,Bay Area,14206,,
2007,Maternal Age Group,Ages 17 and Younger,Bay Area,1206,,
2007,Maternal Age Group,Ages 18-19,Bay Area,2904,,
2007,Maternal Age Group,Ages 20-24,Bay Area,10098,,
2007,Maternal Age Group,Ages 25-29,Bay Area,8907,,
2007,Maternal Age Group,Ages 30-34,Bay Area,5568,,
2007,Maternal Age Group,Ages 35 and Older,Bay Area,3467,,
2007,Maternal Race/Ethnicity,African-American,Bay Area,3418,,
2007,Maternal Race/Ethnicity,American Indian/Alaska Native,Bay Area,110,,
2007,Maternal Race/Ethnicity,Asian,Bay Area,3349,,
2007,Maternal Race/Ethnicity,Hawaiian/Pacific Islander,Bay Area,401,,
2007,Maternal Race/Ethnicity,Hispanic,Bay Area,20098,,
2007,Maternal Race/Ethnicity,Other/Unknown Race,Bay Area,452,,
2007,Maternal Race/Ethnicity,Two or More Race Categories,Bay Area,552,,
2007,Maternal Race/Ethnicity,White,Bay Area,3770,,
2007,Aid Category,Blind and Persons with Disabilities,Central Coast,172,,
2007,Aid Category,Families,Central Coast,5528,,
2007,Aid Category,Medically Indigent Child & Minor Consent,Central Coast,615,,
2007,Aid Category,Other,Central Coast,30,,
2007,Aid Category,Pregnancy Pathway (Not Undocumented),Central Coast,2442,,
2007,Aid Category,Undocumented,Central Coast,8406,,
2007,Maternal Age Group,Ages 17 and Younger,Central Coast,1016,,
2007,Maternal Age Group,Ages 18-19,Central Coast,1834,,
2007,Maternal Age Group,Ages 20-24,Central Coast,5715,,
2007,Maternal Age Group,Ages 25-29,Central Coast,4441,,
2007,Maternal Age Group,Ages 30-34,Central Coast,2686,,
2007,Maternal Age Group,Ages 35 and Older,Central Coast,1501,,
2007,Maternal Race/Ethnicity,African-American,Central Coast,160,,
2007,Maternal Race/Ethnicity,American Indian/Alaska Native,Central Coast,35,,
2007,Maternal Race/Ethnicity,Asian,Central Coast,244,,
2007,Maternal Race/Ethnicity,Hawaiian/Pacific Islander,Central Coast,34,,
2007,Maternal Race/Ethnicity,Hispanic,Central Coast,14550,,
2007,Maternal Race/Ethnicity,Other/Unknown Race,Central Coast,71,,
2007,Maternal Race/Ethnicity,Two or More Race Categories,Central Coast,163,,
2007,Maternal Race/Ethnicity,White,Central Coast,1936,,
2007,Aid Category,Blind and Persons with Disabilities,Central Valley,896,,
2007,Aid Category,Families,Central Valley,23092,,
2007,Aid Category,Medically Indigent Child & Minor Consent,Central Valley,1202,,
2007,Aid Category,Other,Central Valley,128,,
2007,Aid Category,Pregnancy Pathway (Not Undocumented),Central Valley,5863,,
2007,Aid Category,Undocumented,Central Valley,12596,,
2007,Maternal Age Group,Ages 17 and Younger,Central Valley,2534,,
2007,Maternal Age Group,Ages 18-19,Central Valley,5260,,
2007,Maternal Age Group,Ages 20-24,Central Valley,15349,,
2007,Maternal Age Group,Ages 25-29,Central Valley,10895,,
2007,Maternal Age Group,Ages 30-34,Central Valley,6099,,
2007,Maternal Age Group,Ages 35 and Older,Central Valley,3640,,
2007,Maternal Race/Ethnicity,African-American,Central Valley,2154,,
2007,Maternal Race/Ethnicity,American Indian/Alaska Native,Central Valley,220,,
2007,Maternal Race/Ethnicity,Asian,Central Valley,2473,,
2007,Maternal Race/Ethnicity,Hawaiian/Pacific Islander,Central Valley,76,,
2007,Maternal Race/Ethnicity,Hispanic,Central Valley,31284,,
2007,Maternal Race/Ethnicity,Other/Unknown Race,Central Valley,118,,
2007,Maternal Race/Ethnicity,Two or More Race Categories,Central Valley,565,,
2007,Maternal Race/Ethnicity,White,Central Valley,6887,,
2007,Aid Category,Blind and Persons with Disabilities,Far North,84,,
2007,Aid Category,Families,Far North,1108,,
2007,Aid Category,Medically Indigent Child & Minor Consent,Far North,,2,Cell suppressed for complementary cell
2007,Aid Category,Medically Indigent Child & Minor Consent,Far North,0,,
2007,Aid Category,Other,Far North,,1,Cell suppressed for small numbers
2007,Aid Category,Other,Far North,0,,
2007,Aid Category,Pregnancy Pathway (Not Undocumented),Far North,352,,
2007,Aid Category,Undocumented,Far North,71,,
2007,Maternal Age Group,Ages 17 and Younger,Far North,97,,
2007,Maternal Age Group,Ages 18-19,Far North,199,,
2007,Maternal Age Group,Ages 20-24,Far North,659,,
2007,Maternal Age Group,Ages 25-29,Far North,436,,
2007,Maternal Age Group,Ages 30-34,Far North,187,,
2007,Maternal Age Group,Ages 35 and Older,Far North,83,,
2007,Maternal Race/Ethnicity,African-American,Far North,31,,
2007,Maternal Race/Ethnicity,American Indian/Alaska Native,Far North,86,,
2007,Maternal Race/Ethnicity,Asian,Far North,44,,
2007,Maternal Race/Ethnicity,Hawaiian/Pacific Islander,Far North,,1,Cell suppressed for small numbers
2007,Maternal Race/Ethnicity,Hawaiian/Pacific Islander,Far North,0,,
2007,Maternal Race/Ethnicity,Hispanic,Far North,233,,
2007,Maternal Race/Ethnicity,Other/Unknown Race,Far North,,1,Cell suppressed for small numbers
2007,Maternal Race/Ethnicity,Other/Unknown Race,Far North,0,,
2007,Maternal Race/Ethnicity,Two or More Race Categories,Far North,52,,
2007,Maternal Race/Ethnicity,White,Far North,1205,,
2007,Aid Category,Blind and Persons with Disabilities,Invalid Code,0,,
2007,Aid Category,Families,Invalid Code,114,,
2007,Aid Category,Medically Indigent Child & Minor Consent,Invalid Code,13,,
2007,Aid Category,Other,Invalid Code,106,,
2007,Aid Category,Pregnancy Pathway (Not Undocumented),Invalid Code,11,,
2007,Aid Category,Undocumented,Invalid Code,11,,
2007,Maternal Age Group,Ages 17 and Younger,Invalid Code,36,,
2007,Maternal Age Group,Ages 18-19,Invalid Code,64,,
2007,Maternal Age Group,Ages 20-24,Invalid Code,74,,
2007,Maternal Age Group,Ages 25-29,Invalid Code,39,,
2007,Maternal Age Group,Ages 30-34,Invalid Code,23,,
2007,Maternal Age Group,Ages 35 and Older,Invalid Code,19,,
2007,Maternal Race/Ethnicity,African-American,Invalid Code,15,,
2007,Maternal Race/Ethnicity,American Indian/Alaska Native,Invalid Code,0,,
2007,Maternal Race/Ethnicity,Asian,Invalid Code,12,,
2007,Maternal Race/Ethnicity,Hawaiian/Pacific Islander,Invalid Code,2,,
2007,Maternal Race/Ethnicity,Hispanic,Invalid Code,185,,
2007,Maternal Race/Ethnicity,Other/Unknown Race,Invalid Code,3,,
2007,Maternal Race/Ethnicity,Two or More Race Categories,Invalid Code,4,,
2007,Maternal Race/Ethnicity,White,Invalid Code,34,,
2007,Aid Category,Blind and Persons with Disabilities,Los Angeles,991,,
2007,Aid Category,Families,Los Angeles,33158,,
2007,Aid Category,Medically Indigent Child & Minor Consent,Los Angeles,1924,,
2007,Aid Category,Other,Los Angeles,372,,
2007,Aid Category,Pregnancy Pathway (Not Undocumented),Los Angeles,7629,,
2007,Aid Category,Undocumented,Los Angeles,38039,,
2007,Maternal Age Group,Ages 17 and Younger,Los Angeles,3722,,
2007,Maternal Age Group,Ages 18-19,Los Angeles,7906,,
2007,Maternal Age Group,Ages 20-24,Los Angeles,25158,,
2007,Maternal Age Group,Ages 25-29,Los Angeles,21682,,
2007,Maternal Age Group,Ages 30-34,Los Angeles,14505,,
2007,Maternal Age Group,Ages 35 and Older,Los Angeles,9140,,
